,Interval,Time_min,video,SSI_fa_ch,SSI_fa_mo,SSI_fa_mo_ch,SSI_mo_ch
0,1,0.0,RAKA008,0.000889180249711,0.0106449907601,0.00485271009704,2.34500112772e-07
1,2,0.166666666667,RAKA008,0.0568698838063,0.0255397390958,0.0359777751991,0.00577418791792
2,3,0.333333333333,RAKA008,0.0110262903205,0.177663445975,0.0813148896662,0.00809430972145
3,4,0.5,RAKA008,0.000317221885965,0.010805517168,0.0830189151626,0.186223830196
4,5,0.666666666667,RAKA008,0.225684176914,0.00174587198714,0.170842755651,0.167685109272
5,6,0.833333333333,RAKA008,0.0467740819423,0.000400772609808,0.0198465235674,2.67113502089e-05
6,7,1.0,RAKA008,0.0661748613469,0.0043510076609,0.0727999640097,0.105780120217
7,8,1.16666666667,RAKA008,0.264947318135,0.0250302686271,0.250844497224,0.318238013946
8,9,1.33333333333,RAKA008,0.0248945029604,0.000247642710579,0.012991594668,0.00590053677454
9,10,1.5,RAKA008,0.00887286255645,0.0180444976317,0.0253769932172,0.0302629041917
10,11,1.66666666667,RAKA008,0.000408746235051,0.00115491148543,0.000783558395771,0.000313093009238
11,12,1.83333333333,RAKA008,0.0105542557698,0.0338859633407,0.0885446401838,0.172367198328
12,13,2.0,RAKA008,0.0179337858717,0.0702174506947,0.0377159234129,0.000227135336497
13,14,2.16666666667,RAKA008,0.000999135149422,0.0250595193844,0.088220295341,0.184007922576
14,15,2.33333333333,RAKA008,0.0169930543789,0.159145370478,0.0742879001381,0.00183410114229
15,16,2.5,RAKA008,0.0554588314344,0.0434399319803,0.209691207391,0.423676360031
16,17,2.66666666667,RAKA008,0.0779997253554,0.0326894362851,0.0669681574486,0.0598713596953
17,18,2.83333333333,RAKA008,0.00143071514507,0.0245257113655,0.0305368424562,0.0476178383059
18,19,3.0,RAKA008,0.137676156663,0.00636160176706,0.125437975802,0.128222832143
19,20,3.16666666667,RAKA008,0.045871353083,0.0965575651876,0.10018377086,0.115425902611
20,21,3.33333333333,RAKA008,0.034373359617,0.107939006687,0.0799651538105,0.0297663129672
21,22,3.5,RAKA008,0.038772597733,0.0132014337527,0.0382775802803,0.0435413887481
22,23,3.66666666667,RAKA008,0.201451753496,0.0244373803447,0.0974882284547,0.012367993905
23,24,3.83333333333,RAKA008,0.0526358646896,0.00318822857307,0.0364404149614,0.0327441594885
24,25,4.0,RAKA008,0.0319817305073,0.00142921804814,0.0157030402122,0.00337462020289
25,26,4.16666666667,RAKA008,0.128919670849,0.00663068300616,0.0571081139908,0.000783597239914
26,27,4.33333333333,RAKA008,0.135585965247,0.000299456232126,0.1356504332,0.176698799607
27,28,4.5,RAKA008,0.00168516601119,0.00907306563866,0.0107165581082,0.0152121462144
28,29,4.66666666667,RAKA008,0.171014787482,0.060966286339,0.098134971858,0.00443885854569
29,30,4.83333333333,RAKA008,0.0415476109438,0.252557738964,0.12633059169,0.0163040684978
30,31,5.0,RAKA008,0.0018510510071,0.0354014658049,0.0774034538109,0.147976390526
31,32,5.16666666667,RAKA008,0.161185005829,0.0495797144235,0.105013316449,0.0575239900017
32,33,5.33333333333,RAKA008,0.0506941586223,0.00114809819552,0.0375793035027,0.0383562253804
33,34,5.5,RAKA008,0.48589472587,0.0015425335944,0.218548465811,0.018828032116
34,35,5.66666666667,RAKA008,0.109933164402,0.0227626367542,0.0758431378779,0.0322914645232
35,36,5.83333333333,RAKA008,0.0314881165762,0.000155062695601,0.0372074232843,0.0553138710279
36,37,6.0,RAKA008,0.0570603396629,0.0553068312942,0.0556392552562,0.0104296514021
37,38,6.16666666667,RAKA008,0.000211449848396,0.0182114162591,0.0947941381568,0.206116714213
38,39,6.33333333333,RAKA008,0.0707876029708,0.143728223916,0.103016229194,0.0500869562202
39,40,6.5,RAKA008,0.523688598573,0.263582902091,0.354025117956,0.154418405479
40,41,6.66666666667,RAKA008,0.063357728804,0.0318353076142,0.0736956167772,0.0613947601547
41,42,6.83333333333,RAKA008,0.0628602583198,0.038415081765,0.0436448328979,0.000270963863714
42,43,7.0,RAKA008,0.19739973443,0.059400795465,0.115668026085,0.0352097599542
43,44,7.16666666667,RAKA008,0.0602742955387,0.41379849317,0.213462908982,0.0637449387356
44,45,7.33333333333,RAKA008,0.0184215252023,0.0502203438929,0.0525961750699,0.0634954571271
45,46,7.5,RAKA008,0.0565771550516,0.000999658565709,0.0660923688262,0.0996721689445
46,47,7.66666666667,RAKA008,0.035372321358,0.0288730578162,0.0526681298427,0.0498146188492
