"","video","frame_index","slidedMother","slidedPatient","slidedTherapist","logSlidedFather","logSlidedMother","logSlidedPatient","logSlidedTherapist"
"48","F1044Q1",48,2.03405e-05,0.01714792,0.003938294,NA,9.65920153483153,15.9254951755243,14.4136816672995
"49","F1044Q1",49,1.22043e-05,0.0165936,0.004174228,NA,9.54367700473821,15.8974648721013,14.4877562259113
"50","F1044Q1",50,4.0681e-06,0.01626524,0.004637022,NA,9.19710341445823,15.8776585597477,14.5883767837354
"51","F1044Q1",51,8.1362e-06,0.014548038,0.004065334,NA,9.19710341445823,15.7300390109756,14.4586376275421
"52","F1044Q1",52,1.22043e-05,0.012339782,0.004301268,NA,9.19710341445823,15.4266518339242,14.5286778872118
"53","F1044Q1",53,1.22043e-05,0.009492836,0.004128854,NA,9.19710341445823,15.03249025111,14.4883298739123
"54","F1044Q1",54,1.62724e-05,0.00632655,0.004246822,NA,9.19710341445823,14.6401766189766,14.5171088775517
"55","F1044Q1",55,2.03405e-05,0.003910406,0.00391107,NA,9.19710341445823,14.3496908267694,14.4495043312264
"56","F1044Q1",56,1.62724e-05,0.003473572,0.003774954,NA,9.19710341445823,14.2846061314579,14.400479875111
"57","F1044Q1",57,1.22043e-05,0.003615166,0.003774954,NA,9.19710341445823,14.3257087648748,14.400479875111
"58","F1044Q1",58,8.1362e-06,0.0032928134,0.00430127,NA,9.19710341445823,14.0853493674542,14.5045186731657
"59","F1044Q1",59,4.0681e-06,0.0029825114,0.004264972,NA,9.19710341445823,13.9026716499478,14.4960962930273
"60","F1044Q1",60,0,0.0028529674,0.004101632,NA,NA,13.8640733434226,14.4525514279152
"61","F1044Q1",61,4.0681e-06,0.0025245894,0.004165154,NA,9.19710341445823,13.7958215509106,14.4769298062758
"62","F1044Q1",62,4.0681e-06,0.0023528694,0.004328494,NA,9.19710341445823,13.7447667536962,14.5141503945181
"63","F1044Q1",63,4.0681e-06,0.00311808,0.003575318,NA,9.19710341445823,14.1197950270575,14.3404502576098
"64","F1044Q1",64,4.0681e-06,0.004027896,0.003221416,NA,9.19710341445823,14.4562140349257,14.2317271419598
"65","F1044Q1",65,1.22043e-05,0.005476984,0.003239566,NA,9.54367700473821,14.6998605567583,14.237061136241
