"","video","frame_index","slidedMother","slidedPatient","slidedTherapist","logSlidedFather","logSlidedMother","logSlidedPatient","logSlidedTherapist"
"47","F1044H1",47,5.78704e-05,0.005423688,0.0015352078,NA,10.2924480808447,14.7076702662206,13.4453392444386
"48","F1044H1",48,6.61376e-05,0.006218166,0.0015535938,NA,10.37656614,14.9061338108613,13.4555980750744
"49","F1044H1",49,7.02712e-05,0.00606871,0.0012778078,NA,10.448486658113,14.8687706807498,13.2886385712447
"50","F1044H1",50,7.85384e-05,0.005494484,0.001498436,NA,10.3400339730945,14.7628141281412,13.4718964456692
"51","F1044H1",51,8.68056e-05,0.006017582,0.001755836,NA,10.5597564308281,14.8300229109868,13.5920509700589
"52","F1044H1",52,7.02712e-05,0.006686204,0.001847766,NA,10.2378688483413,14.9093894766776,13.6571363798893
"53","F1044H1",53,4.96032e-05,0.007358758,0.001774224,NA,9.98731625464224,14.9947970861485,13.6125082135266
"54","F1044H1",54,4.54696e-05,0.00862127,0.002086782,NA,9.92977984015189,15.1960332462988,13.7940197898572
"55","F1044H1",55,4.54696e-05,0.00972646,0.001939696,NA,9.92977984015189,15.3664474244725,13.6918543025031
"56","F1044H1",56,3.72024e-05,0.009824786,0.001636332,NA,9.71005738241826,15.3768990712009,13.5398871480954
"57","F1044H1",57,4.54696e-05,0.00973039,0.0014524738,NA,9.92977984015189,15.3674295929305,13.3777005307361
"58","F1044H1",58,3.72024e-05,0.009451142,0.0015811738,NA,9.9356689919347,15.3362603353534,13.4502815112349
"59","F1044H1",59,4.96032e-05,0.009030304,0.0012778078,NA,10.1089557870747,15.2887452012531,13.2772810695259
"60","F1044H1",60,5.37368e-05,0.008404946,0.0014616658,NA,10.2103220641017,15.2102876037206,13.398508889514
"61","F1044H1",61,5.37368e-05,0.007138502,0.0014340858,NA,10.2103220641017,14.9969788275549,13.3766679346653
"62","F1044H1",62,4.96032e-05,0.005667538,0.001654714,NA,10.1089557870747,14.7152253468044,13.5599258090899
"63","F1044H1",63,6.2004e-05,0.004279168,0.00164552,NA,10.1495022978855,14.3506002926829,13.555529481218
"64","F1044H1",64,4.96032e-05,0.002993058,0.001746642,NA,10.0108728617735,14.008141126903,13.6309888454475
"65","F1044H1",65,4.54696e-05,0.0018603376,0.001682292,NA,9.92977984015189,13.5999576307383,13.59633452792
"66","F1044H1",66,4.96032e-05,0.0013411728,0.001958078,NA,10.0684092762639,13.2961611840273,13.74978579754
"67","F1044H1",67,5.37368e-05,0.0009282018,0.001847764,NA,10.1495022978855,12.89152105575,13.6784509641525
"68","F1044H1",68,4.54696e-05,0.0007236828,0.0019305,NA,9.92977984015189,12.6021374461149,13.7149154366671
"69","F1044H1",69,3.30688e-05,0.0005270302,0.001810994,NA,9.83430271490766,12.3650131239005,13.6220554452207
"70","F1044H1",70,3.30688e-05,0.0004365698,0.001847766,NA,9.83430271490766,12.2119195318209,13.6425865628618
"71","F1044H1",71,4.54696e-05,0.0003461094,0.001553594,NA,10.0633753978762,12.0175472974136,13.4731264727832
"72","F1044H1",72,5.78704e-05,0.0003303772,0.001654716,NA,10.2366621930162,11.9600110948021,13.5393982187434
"73","F1044H1",73,6.61376e-05,0.00028318044,0.001461666,NA,10.5113152651832,11.6827520954507,13.4409028484711
"74","F1044H1",74,6.61376e-05,0.00021631834,0.00163633,NA,10.5113152651832,11.3864310023532,13.5654080957898
"75","F1044H1",75,7.44048e-05,0.00023205054,0.001526016,NA,10.6846020603232,11.4228952289604,13.4961532509953
"76","F1044H1",76,6.61376e-05,0.00023991674,0.00172826,NA,10.5568956543817,11.4496017799013,13.6262715524857
"77","F1044H1",77,4.1336e-05,0.00020451912,0.001682296,NA,10.4075823652794,11.172342568671,13.5988315578841
"78","F1044H1",78,2.89352e-05,0.00021631828,0.001939696,NA,10.4555293773547,11.2842655809695,13.7217049048876
"79","F1044H1",79,4.54696e-05,0.0002045191,0.001838574,NA,10.50347638943,11.1010074345947,13.6592297202501
"80","F1044H1",80,4.1336e-05,0.00012585794,0.001921308,NA,10.4075823652794,10.7426556255007,13.7132866016613
"81","F1044H1",81,3.30688e-05,0.00011405874,0.0016822934,NA,10.0413782690567,10.7011277036499,13.5467047865334
"82","F1044H1",82,4.1336e-05,0.00015732236,0.0018109934,NA,10.0075895100477,11.0092165665507,13.6156727238213
"83","F1044H1",83,5.78704e-05,0.00028711336,0.0015995574,NA,10.1259456907542,11.3578105728511,13.5210149576752
"84","F1044H1",84,4.54696e-05,0.00053096324,0.0016822934,NA,9.84868681853025,12.0509578805384,13.5734879221379
"85","F1044H1",85,3.72024e-05,0.001533893,0.0015535934,NA,9.62896436079663,12.885064514633,13.4815812654195
"86","F1044H1",86,3.30688e-05,0.0040549832,0.001682294,NA,9.73293643788062,13.6686959387851,13.5877071843823
"87","F1044H1",87,3.72024e-05,0.0059861144,0.001783416,NA,9.83430271490766,14.3857961731021,13.6289746092613
"88","F1044H1",88,3.30688e-05,0.006788458,0.00179261,NA,9.76238219679472,14.7474537939583,13.6341703524698
"89","F1044H1",89,3.72024e-05,0.007012642,0.001755838,NA,9.9356689919347,14.8748350500116,13.6125273167724
"90","F1044H1",90,4.96032e-05,0.006552474,0.00220629,NA,10.2822425822147,14.7546347689984,13.8350093826871
